ilce, Kus, Kedi, Kopek, Balik, Diger
 ADALAR,12,50,25,3,1
 ARNAVUTKOY,40,29,18,13,6
 ATASEHIR,70,145,54,17,1
 AVCILAR,10,14,7,2,1
 BAGCILAR,5,6,2,2,1
 BAHCELIEVLER,9,30,12,2,1
 BAKIRKOY,0,0,0,0,0
 BASAKSEHIR,63,64,20,6,3
 BAYRAMPAžA,0,0,0,0,0
 BESIKTAS,0,0,0,0,0
 BEYKOZ,37,56,39,4,4
 BEYLIKDUZU,22,56,41,9,2
 BEYOGLU,0,0,0,0,0
 BUYUKCEKMECE,17,45,23,9,3
 CATALCA,15,18,20,1,0
 CEKMEKOY,55,57,16,25,1
 ESENLER,0,0,0,0,0
 ESENYURT,76,70,20,10,3
 EYUPSULTAN,0,0,0,0,0
 FATIH,0,0,0,0,0
 GAZIOSMANPASA,0,0,0,0,0
 GUNGOREN,0,0,0,0,0
 KADIKOY,133,132,39,31,0
 KAGITHANE,0,0,0,0,0
 KARTAL,127,131,41,48,2
 KUCUKCEKMECE,29,68,26,9,1
 MALTEPE,116,240,65,34,9
 PENDIK,162,137,40,42,6
 SANCAKTEPE,77,31,10,6,1
 SARIYER,0,0,0,0,0
 SILIVRI,27,31,30,7,8
 SULTANBEYLI,48,22,5,13,5
 SULTANGAZI,0,0,0,0,0
 SILE,35,75,64,15,5
 SISLI,0,0,0,0,0
 TUZLA,58,61,18,25,1
 UMRANIYE,83,126,37,21,3
 USKUDAR,102,227,52,29,8
 ZEYTINBURNU,0,0,0,0,0
